,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,Hip13,Hip5,Hip10,Hip9,Hip6,Hip14,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip25,Hip17,Hip28,Hip18,Hip20,Hip27,Hip26,Hip19,QC HIP 1,QC HIP 2,QC HIP 3,QC HIP 4,QC HIP 5,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
15,15975.4741,14552.67122,9161.509929,12067.39476,14545.51865,4662.050946,10927.53952,6984.614649,17368.43243,11183.01466,13303.11463,10497.55694,7502.685521,7156.908937,7691.189228,10222.78849,11669.73474,6736.673365,6828.332942,4070.641454,3466.983317,9518.271152,12216.36141,13207.69363,7175.557435,10326.35771,9134.982752,3421.052875,10151.64612,2339.515818,8856.490638,7015.870946,6400.785808,6783.594173,7196.065622,16517.80828,13454.42706,9578.039324,8808.296652,11141.87068,7059.728759,14656.30074,13346.51082,15073.33827,12340.28579,11692.8938,10542.74706,9723.152711,13521.34301,13252.79745,18024.14358,9129.670326,14491.66982,11129.17897,11166.61377,7782.787066,12577.91186,5201.643656,12925.98899,16218.81306,11738.77881,8817.634066,12573.83977,9583.387473,6495.871487,8776.041344,14328.58238,9599.693467,9816.872273,10592.31727,10886.11764,10372.049,8284.915523,7897.526103,8377.256817,8696.552012
16,5524.246569,5493.75215,13359.46326,13369.61976,10637.08781,18047.75199,15142.32664,17051.43025,4141.487014,17008.97463,9070.824969,13192.18362,16062.11473,11426.01857,12371.0385,7126.145264,10257.26312,16842.88737,9564.585508,11682.60043,9668.174808,9096.920483,7993.857807,7632.860898,11093.08718,16640.60796,14745.38795,13345.12675,11389.38906,12199.59524,10739.66012,12450.45458,11844.25246,10650.35476,9833.793115,2888.830306,6066.857383,4492.851834,8993.394904,10591.91723,11449.82795,7502.75002,2223.997971,3932.179318,11357.36496,8076.920949,5593.328285,8900.356253,6200.734131,7880.888213,5830.42613,8172.997183,10180.28209,7673.19148,7111.477296,10860.48267,10764.54675,11345.33124,7089.422411,4985.876009,4823.884119,8372.084043,8824.920722,6652.245871,11463.1388,8725.391729,5275.743852,6914.30109,7260.652718,7265.356148,7100.39109,9265.335672,9551.545341,9062.7647,8870.367806,8213.542573
17,8765.764163,10222.68713,11536.02948,10181.15462,9173.369615,8389.398301,9253.164841,9706.421002,7261.216114,11312.30719,9787.329315,10118.57394,10376.20783,9499.803935,9999.263794,12041.09322,10362.50676,11179.0659,11026.63183,9912.265187,11725.29373,10618.68828,9453.988208,10512.01639,9928.367967,9865.921263,9735.942123,8296.832211,9763.041507,10179.77835,9872.458138,10272.71187,9907.101027,9659.207125,10066.57212,7988.162524,9972.420701,7479.888215,9409.443014,7533.754458,9406.977481,9226.801981,6193.975485,10885.00907,10906.15697,10582.06806,8738.111664,9437.892485,9839.097178,10319.05104,7690.02777,8438.287354,9377.242199,8979.454595,8307.218853,8535.107794,9346.386879,9712.874849,8747.378989,8760.290787,8932.213665,7487.252825,9278.107896,7719.483747,9916.666293,9315.807146,7836.857123,8720.455797,8059.671504,7744.211494,7456.175662,8705.604184,9499.270985,9347.806312,9025.319899,8999.182985
18,12961.53953,11279.46249,18121.74163,17033.35239,29031.43239,12893.98847,20125.22274,14176.52955,9627.613754,22489.36455,10209.03884,13477.53074,14855.83468,13956.56501,9938.041689,12619.27557,11237.19054,13894.61306,10844.70648,13023.05049,6890.762758,9013.350876,12101.6604,13660.26927,9483.563493,17346.46159,20283.45172,11184.16057,13028.75583,7714.379275,9550.778979,10299.70798,10116.64683,9358.696641,8758.907563,11961.32251,12848.50693,12474.97068,14223.78544,14731.19646,13120.68827,18475.42899,13175.88194,12378.01748,11903.27991,14159.15533,10766.35109,13221.7792,13822.80345,16892.55955,16248.65956,11641.57058,14619.40671,11310.45306,14355.476,9728.748582,16678.3668,8311.38205,13104.08849,10258.02989,11747.6657,17287.57189,15093.35021,13363.65863,12909.33514,16685.40942,8910.514246,10176.65748,10050.13951,11037.62136,11498.5623,10097.93997,10353.55775,10183.29293,9693.959953,10068.74871
19,26202.08008,18400.256,11184.8357,12687.7761,21926.04227,5966.907323,16896.52198,9788.749386,15742.41386,16201.68735,14268.30849,13280.35579,7622.92614,9326.008893,6514.07489,10873.21484,11366.92959,5855.708193,4682.481107,4279.038726,2962.907191,8874.065522,16019.7472,13967.12093,8050.685169,14218.64342,14090.94728,3612.763163,12877.07822,2783.329588,10754.38492,7484.167345,7698.36359,8391.058424,8548.646594,19245.99158,14492.24202,11421.56536,9378.267399,11473.31388,9776.917642,20011.21148,15254.75722,18027.17249,11128.34307,12815.48948,9142.164236,9647.949705,13280.92398,13221.52955,20686.17931,11729.78137,14352.24303,11282.6358,11509.54116,9288.499395,12096.92291,3976.867625,21002.65642,18369.32043,13297.37639,9003.752011,14875.65072,12397.03134,5579.269863,9655.143563,16958.95682,10011.01446,11239.09018,13947.60096,14982.90925,12356.96771,9295.379286,9637.495807,9527.959899,10882.72588
20,18925.01413,18485.42078,11577.61953,14620.47043,13609.69094,8599.056315,13212.75583,10478.62988,16212.33095,11082.43757,15064.95456,15245.63544,9994.640422,10670.97455,8761.395806,14190.57838,13545.9565,10655.0531,9121.070081,7032.791117,9819.104198,9710.783702,15500.03109,14941.0771,11034.88504,12026.66032,10851.60633,6539.421948,13556.40781,6573.172437,11846.29637,10169.94739,8533.527665,9337.925504,9500.297797,16722.69239,14765.82909,14050.43138,15039.76159,12956.49739,13062.13421,14366.45371,13926.47457,15279.77515,12066.01677,13729.03141,11435.40848,11137.7869,9649.784491,11226.61358,15761.02537,13999.57248,12745.47052,14175.90901,12827.58368,14262.33578,12790.70721,9727.915162,18364.5828,16098.704,16887.79785,12987.63864,14492.43757,13091.47287,9921.95269,10166.18958,16250.09008,11585.155,10848.65918,11952.01058,12059.83199,11746.21223,11077.73121,10496.55449,10749.26284,10938.61315
21,19621.84025,16293.07333,10710.38261,13774.30519,12777.5572,8419.92675,12679.19152,10478.74045,17790.25189,12845.04536,14293.61101,13187.75244,8093.298832,10644.07102,9285.486669,9655.831201,12341.20936,9207.869231,9475.160862,7236.446909,9040.276186,9206.704597,17266.72562,13603.9791,10196.56019,11461.34609,10277.20955,7611.834497,14171.94851,6857.321229,12128.13243,9490.528577,8752.806113,9239.540119,9551.11107,17706.21809,15324.26005,16889.98351,12245.23006,12850.70761,11111.10647,13628.22946,14555.06761,15174.71824,10174.01856,11903.37033,11864.34655,10179.49629,12483.20516,10549.67801,15556.1005,14656.48778,11174.1164,11930.20317,12141.96122,13585.69176,10864.92228,11238.94938,16873.40792,16700.86212,15480.2423,12027.42209,14250.30633,13955.20426,9355.082773,11199.93338,14424.4883,10580.78953,12071.40854,12520.73816,13058.80799,13378.93367,9849.461119,10755.13396,10624.24224,10900.77183
22,16799.90749,19575.27348,12643.90716,11199.97445,13776.59926,6837.047149,11878.11218,11472.79654,17767.16875,8017.529627,13973.83372,13207.67277,8542.925821,9179.428633,8866.361782,17318.40961,17345.0122,10514.32137,10479.21222,6944.155358,12560.93218,10331.44239,15670.34974,14661.23028,9962.213393,8916.284191,9635.158265,5204.775422,12415.1875,6347.344167,11263.93712,9276.996308,8517.912975,8320.98741,9006.225715,20330.17776,17058.49867,21350.13454,17146.32653,15210.56766,15146.11123,13453.00308,20100.63419,21272.08833,14900.12343,20207.042,16395.76501,16790.82034,12679.49153,14415.35633,15874.85175,15653.88449,17620.80638,17885.67611,13346.41555,18304.97869,16312.4529,13130.26962,18768.83123,17971.07174,21152.43124,18348.12657,14255.95659,16593.43446,15214.22348,15442.88614,22091.62329,13943.93911,13307.84217,15643.35315,14802.5262,13467.36239,12156.11575,10902.75684,11657.65452,11663.68455
23,14226.22256,14288.26511,13593.98094,14101.11884,12801.37568,10466.11253,14059.69595,10197.53681,16587.29601,9796.121512,14355.96409,15045.54926,11395.5613,13398.08301,11583.60988,13787.18311,14487.20724,9921.28207,11323.33356,9801.547936,12790.38263,13725.77553,13712.92855,15798.50853,11880.80762,12829.01494,11134.1314,7595.235548,13781.8056,9090.054032,11330.25872,13037.50388,12261.75235,12899.65066,12319.56503,15941.56995,16550.34105,15478.71697,13980.17862,15391.11323,13789.13997,11879.23743,14458.47602,14260.61305,15878.27544,14126.50799,15895.67839,14155.25585,11777.67284,14669.26602,15132.79076,15280.89965,15852.17978,15427.27713,13157.85979,13954.67933,16255.38408,13092.8015,13847.97366,16813.46438,15761.38409,11530.21772,13521.25599,12616.52795,10722.96098,12100.27213,13148.60251,13016.63572,15252.7998,13406.60101,15291.42998,12480.11541,12982.344,15111.63309,12943.32282,14334.97681
24,14924.04948,16018.21886,18696.99781,14264.06492,19782.17339,10955.468,17520.87918,13325.48839,18472.37527,10779.71224,15042.03975,14608.59837,14174.98949,12441.22895,14007.47734,15188.32924,17764.51822,12065.82964,14509.03959,13414.96248,11557.75734,12909.83355,13410.04794,14523.59151,13209.37228,12913.03746,9493.769862,12566.93993,15263.26636,10286.74423,14133.42732,14113.9804,15041.14192,14838.90859,12222.38566,14259.28468,13512.98398,13014.45919,12061.14677,10615.59255,12462.43665,15840.81957,11835.34643,14780.20802,19419.45768,13821.42449,13917.47746,13016.60587,11313.81607,12937.90856,13673.26508,15393.49727,15496.42218,17084.6669,9870.134021,11608.048,12334.64098,12819.99222,14715.64254,13020.42771,13085.31083,13366.0248,14925.90363,11757.51954,14234.8623,12975.77636,12067.14177,16908.24068,16118.91097,15775.59661,15002.34515,13168.56863,14137.90752,14103.41352,14548.27143,14463.01089
